subdistrict,year,n_pixels,mean_ff,median_ff,sd_ff,mean_image_count
E,2012,683,0.14272805295637625,0.0627360614016652,0.1833643979233393,5.427525622254758
E,2013,683,0.19639694262978957,0.14391459338367,0.18237073085842098,5.376281112737921
E,2014,683,0.13114523400939118,0.070370240136981,0.1457395596836125,5.109809663250366
E,2015,683,0.07635849103851348,0.0193708315491676,0.1311547258146976,4.3718887262079065
E,2016,683,0.07326689863558394,0.0206348244100809,0.12417384631912116,5.500732064421669
E,2017,683,0.06883486767883984,0.0253647631034255,0.11579956466687452,5.043923865300147
E,2018,683,0.09823409397970287,0.0335779647575691,0.15034518516849668,4.071742313323573
E,2019,683,0.04737871744054222,0.0069248027866706,0.09884264687010705,5.269399707174231
E,2020,683,0.04169181515782319,0.0068494961829856,0.09707651720797172,4.3718887262079065
E,2021,683,0.02892699851846892,0.0020965090952813,0.081618848166927,5.705710102489019
F,2000,60,0.23638474261627476,0.21873329803347602,0.19120404923519532,3.283333333333333
F,2001,60,0.12313457763944623,0.084977961727418,0.12260607935240143,5.083333333333333
F,2002,60,0.16926745445386693,0.1541349802088615,0.1325449257812846,4.85
F,2003,60,0.06253994987524089,0.02682447583356405,0.08840973651225667,5.266666666666667
F,2004,60,0.11557851965228716,0.0786823030561209,0.1262822256847229,5.216666666666667
F,2005,60,0.09710050979630776,0.05332091053326925,0.11927562618375011,5.066666666666666
F,2006,60,0.08317271296820966,0.040811526627900746,0.12330874344505009,4.85
F,2007,60,0.12293557005404081,0.06830843766219916,0.13607758230065253,4.316666666666666
F,2008,60,0.15304629680092655,0.08497098428197206,0.16051418487717925,3.283333333333333
F,2009,60,0.07711544681526397,0.05409912425481404,0.08449156250313299,5.483333333333333
F,2010,60,0.06505054571595488,0.03788651674985885,0.07927011352059707,4.2
F,2011,60,0.028839643729475537,0.00918031018227335,0.047413553226853915,5.7
F,2012,60,0.06519150833379374,0.03418421459694705,0.08515315031642967,5.166666666666667
F,2013,60,0.07832237745026863,0.057269778335467,0.07439107906944431,4.883333333333334
F,2014,60,0.05011096602504646,0.0310580094655355,0.05505246873654995,5.35
F,2015,60,0.009085089989679938,0.00115577326311415,0.01478476965263832,4.866666666666666
F,2016,60,0.022864418139158963,0.008568249293602951,0.03091592464799297,5.55
F,2017,60,0.03170476980765265,0.02051068850172065,0.03382786910670292,5.516666666666667
F,2018,60,0.028718526373365087,0.0066086051364739,0.043169011083439936,3.816666666666667
F,2019,60,0.024968058801652357,0.00902281639476615,0.041411055258065765,4.133333333333334
F,2020,60,0.005625327976304098,0.0,0.011455082038708353,4.45
F,2021,60,0.003586566254252814,0.0,0.008588575965032845,5.266666666666667
