year,date,n_wells,mean_depth_cm,median_depth_cm,min_depth_cm,max_depth_cm,sd_across_wells_cm,spatial_range_cm
2019,2019-06-14,7,89.99833409877996,70.7627912653919,14.4069950590165,144.854196690582,47.221240459645166,130.4472016315655
2019,2019-06-15,7,88.78745185951371,72.2436675704429,14.5142029714165,141.6961241021,45.420000092979166,127.18192113068349
2019,2019-06-16,7,87.18971375517552,75.2587471645001,14.4555939224389,138.261741262633,43.95404176985809,123.80614734019409
2019,2019-06-17,7,87.73882381193687,76.3393568967999,13.8358427155936,135.848739136343,42.48377979578654,122.0128964207494
2019,2019-06-18,7,89.24508505620246,83.2836311532034,12.4278297330818,133.745916491254,41.02950524532315,121.3180867581722
2019,2019-06-19,7,86.11752612578873,78.7292228321547,9.83533886763297,131.656470684588,40.90470535348929,121.82113181695502
2019,2019-06-20,7,82.96369306632843,74.5447369856805,8.79233924066369,129.7105881447,40.95784748588031,120.91824890403632
2019,2019-06-21,7,79.19980634283658,75.2445629114831,7.56201872733868,127.246786036658,41.40491187244321,119.68476730931931
2019,2019-06-22,7,71.41070686560002,72.6330994532162,4.67350277177445,122.755727538338,43.86943165372537,118.08222476656354
2019,2019-06-23,7,70.01869189115828,73.2085352402777,5.63946232389014,119.750584622776,43.67095771382225,114.11112229888586
2019,2019-06-24,7,69.30590360094288,78.0625218104987,0.53099206550371,118.386973076002,44.371637533457765,117.85598101049828
2019,2019-06-25,7,68.41257310106928,79.8670726660248,-3.5307111243867,116.322252367166,43.525739195747825,119.8529634915527
2019,2019-06-26,7,63.03745400221438,75.597496335746,-1.19018949359457,99.1462407797655,35.89481585852931,100.33643027336008
2019,2019-06-27,7,53.74097768216655,68.1567805054314,-1.19519600163045,78.0525651831482,29.84131587253974,79.24776118477865
2019,2019-06-28,7,50.467659205383036,59.2657259986936,0.636385251402771,73.3292488460833,26.962472103372267,72.69286359468053
2019,2019-06-29,7,50.6181752772952,59.1433600728834,2.33760800356748,72.8368589318848,26.351573364977355,70.49925092831732
2019,2019-06-30,7,49.34395870551113,58.8182113415826,2.73150059577318,70.6410741893677,26.351016674121848,67.90957359359452
2019,2019-07-01,7,46.99991523245637,57.6723148833594,2.87273719486336,68.4412960278451,24.905189671586978,65.56855883298174
2019,2019-07-02,7,47.33629238087136,54.4830299318761,3.25582599039507,68.7503079926501,22.685344971144353,65.49448200225503
2019,2019-07-03,7,47.024987807830804,54.6068250255587,2.4747658023216,67.964206353804,22.509539358984224,65.4894405514824
2019,2019-07-04,7,46.69631278985905,53.5931653749969,3.78834578263252,66.912232291871,21.402635975016647,63.12388650923849
2019,2019-07-05,7,43.10434669826618,51.3639310538167,2.11375588412324,62.3211522754318,21.754328505661565,60.20739639130856
2019,2019-07-06,7,41.69270359776993,47.521092070366,1.03817645035917,61.1616577411993,21.68499253516832,60.12348129084013
2019,2019-07-07,7,41.67550923589341,47.89650185011,2.76909752512324,60.2694440972243,20.822427378137483,57.50034657210106
2019,2019-07-08,7,42.1716403567696,48.9505905583016,1.8600412710839,60.5511961552025,20.84206358624512,58.691154884118596
2019,2019-07-09,7,39.82908650947203,44.1604252333988,3.33140480179139,58.2625373561598,19.786635401176852,54.9311325543684
2019,2019-07-10,7,40.62852459161194,46.5215232212003,6.33579364371997,57.0551038179275,18.583157604793563,50.719310174207536
2019,2019-07-11,7,37.8633395487059,45.3863327458947,7.65710502431887,57.182177817964,21.036908538751593,49.52507279364514
2019,2019-07-12,7,34.433939553833326,41.0026768667308,3.0982186407627,54.9465608392239,21.515665323913154,51.8483421984612
2019,2019-07-13,7,35.76022667321947,41.5182866525271,1.18972787126381,53.12089021443,19.684697798648326,51.931162343166186
2019,2019-07-14,7,36.935786265729575,38.4666575835496,1.22859004955416,54.8002119475868,19.41896882776555,53.571621898032646
2019,2019-07-15,7,31.346340855476523,34.6944326509728,-0.81016652083008,50.517114314016,20.21864210841948,51.32728083484608
2019,2019-07-16,7,29.07961321020877,30.1480731784167,-0.546032709991096,46.1350850943262,18.743618570846387,46.681117804317296
2019,2019-07-17,7,29.801965591674264,29.5476806195495,-0.903527458075359,46.3769902583181,16.816700756900065,47.28051771639346
2019,2019-07-18,7,28.57857578210274,28.9890497673113,-0.0008508751605518,45.6833321239003,16.540015753534984,45.68418299906085
