year,date,groundwater_mean_depth_cm,groundwater_median_depth_cm,groundwater_n_wells,groundwater_sd_across_wells_cm,rainfall_mm,mean_ponding_level_mm,total_irrigation_inflow_mm,total_irrigation_outflow_mm,total_net_irrigation_mm,total_percolation_balance_mm
2019,2019-07-15,31.346340855476523,34.6944326509728,7,20.21864210841948,41.4,38.70334885897236,16.2082415114109,93.827575084268,-77.6193335728571,-0.6427441842454602
2019,2019-07-16,29.07961321020877,30.1480731784167,7,18.743618570846387,0.0,28.85233258200273,18.7814656183988,9.75648539481739,9.02498022358141,9.721312123804928
2019,2019-07-17,29.801965591674264,29.5476806195495,7,16.816700756900065,0.0,31.546904044310903,45.8146060447573,14.1058489279631,31.7087571167942,10.794827218088782
2019,2019-07-18,28.57857578210274,28.9890497673113,7,16.540015753534984,0.0,61.584694918702404,294.1712195659593,17.2775003543649,276.89371921159443,73.0706590363809
2019,2019-07-19,27.17729681809605,27.7978104371627,7,17.137498714140044,0.0,84.6740317971943,56.2222215253082,16.0744180725431,40.1478034527651,36.83849981663638
2019,2019-07-20,27.545489186166055,26.4835418781132,7,15.849785972114375,0.0,78.13920553739119,34.1556694796273,4.80802816430584,29.34764131532146,38.39743986343112
2019,2019-07-21,26.889420605612376,25.3278750399531,7,15.294188326106923,0.0,72.75828695533956,53.4339912400109,1.6007775535378839,51.833213686473,37.77052191716357
2019,2019-07-22,24.642325631328827,24.2553337877197,7,16.12173360000192,0.0,74.18806531305769,120.43225740810891,37.86357982812035,82.5686775799885,42.750136532124294
2019,2019-07-23,22.36616769408724,21.8235245136583,7,15.134967031912598,0.0,77.8702285322647,137.96812235145114,69.67398635523877,68.29413599621233,45.25248518353299
2019,2019-07-24,20.950326599765187,19.8273638424865,7,14.516578095258971,0.0,81.98622520126884,154.69757682356325,85.5579897904933,69.13958703306996,45.55153942411174
2019,2019-07-25,20.185266563784207,18.8785772287332,7,14.425072182711627,0.0,81.1844988971059,130.42767454509692,69.8968771486598,60.5307973964371,45.58072754586374
2019,2019-07-26,18.23572654583928,14.5077587871455,7,13.955829025097255,0.0,79.18752695545733,101.620961023044,54.846945220384704,46.7740158026593,40.652792046606294
2019,2019-07-27,18.141788976658034,14.1456107272603,7,12.85519463616327,3.0,71.56537036522018,50.7607688424889,17.52061053992505,33.2401583025639,43.58630834949028
2019,2019-07-28,19.206110470700803,14.4349751705647,7,13.28233923085256,0.0,67.67023248592504,60.054535725398196,18.5137269060158,41.5408088193824,44.430032944202836
2019,2019-07-29,20.339052616272106,16.3688263740852,7,14.306996314482612,0.20000000000000004,71.2495396502661,149.21602168704732,47.0400007533871,102.1760209336602,49.36930619546263
2019,2019-07-30,18.846636108708246,15.6524677384454,7,14.117913929911264,0.0,72.38297703310037,120.76999887844539,87.54161116798059,33.2283877104648,49.394270997053226
2019,2019-07-31,19.442760688323993,16.4553669287102,7,13.12023509206887,0.0,58.302965524202165,54.4337766694462,16.19618652398273,38.2375901454635,44.504230519610196
2019,2019-08-01,17.913510470754687,15.8947604583361,7,14.523198856030744,0.0,53.659391993440664,67.2569429026405,26.9877311556566,40.2692117469839,42.484651006347555
2019,2019-08-02,13.635076355373814,14.242194959354,7,16.744275287732265,0.0,64.97557856550077,166.7788299376829,42.9223024477866,123.85652748989631,-1.7154448306297017
