duplicate_group_key,scene_id,canonical_rank,is_canonical_scene,canonical_scene_id,duplicate_group_size,platform,datetime,end_datetime,orbit_state,relative_orbit,bbox,vv_assets_n,vh_assets_n,data_role_assets_n,tiff_assets_n,asset_rows_n
"S1B|2019-08-16 17:22:39.440863+00:00|2019-08-16 17:23:04.438811+00:00|ascending|88|(5.476492, 44.977455, 9.207808, 46.875042)",S1B_IW_GRDH_1SDV_20190816T172239_20190816T172304_017614_021234_6899_COG,1,True,S1B_IW_GRDH_1SDV_20190816T172239_20190816T172304_017614_021234_6899_COG,1,S1B,2019-08-16 17:22:39.440863+00:00,2019-08-16 17:23:04.438811+00:00,ascending,88,"[5.476492, 44.977455, 9.207808, 46.875042]",4,4,3,2,11
"S1B|2019-08-22 05:26:24.977623+00:00|2019-08-22 05:26:49.975706+00:00|descending|168|(8.69235, 45.280388, 12.346369, 47.181656)",S1B_IW_GRDH_1SDV_20190822T052624_20190822T052649_017694_02149F_3DD6_COG,1,True,S1B_IW_GRDH_1SDV_20190822T052624_20190822T052649_017694_02149F_3DD6_COG,1,S1B,2019-08-22 05:26:24.977623+00:00,2019-08-22 05:26:49.975706+00:00,descending,168,"[8.69235, 45.280388, 12.346369, 47.181656]",4,4,3,2,11
"S1B|2019-08-22 05:26:32.390988+00:00|2019-08-22 05:26:57.389601+00:00|descending|168|(8.55598, 44.835903, 12.22646, 46.740746)",S1B_IW_GRDH_1SDV_20190822T052632_20190822T052657_017694_02149F_0592_COG,1,True,S1B_IW_GRDH_1SDV_20190822T052632_20190822T052657_017694_02149F_0592_COG,1,S1B,2019-08-22 05:26:32.390988+00:00,2019-08-22 05:26:57.389601+00:00,descending,168,"[8.55598, 44.835903, 12.22646, 46.740746]",4,4,3,2,11
"S1B|2019-08-22 05:26:49.977194+00:00|2019-08-22 05:27:14.976775+00:00|descending|168|(8.359076, 43.781986, 11.957529, 45.679558)",S1B_IW_GRDH_1SDV_20190822T052649_20190822T052714_017694_02149F_2F26_COG,1,True,S1B_IW_GRDH_1SDV_20190822T052649_20190822T052714_017694_02149F_2F26_COG,1,S1B,2019-08-22 05:26:49.977194+00:00,2019-08-22 05:27:14.976775+00:00,descending,168,"[8.359076, 43.781986, 11.957529, 45.679558]",4,4,3,2,11
"S1B|2019-08-22 05:26:57.391101+00:00|2019-08-22 05:27:22.389713+00:00|descending|168|(8.225469, 43.337337, 11.834267, 45.239262)",S1B_IW_GRDH_1SDV_20190822T052657_20190822T052722_017694_02149F_B3F9_COG,1,True,S1B_IW_GRDH_1SDV_20190822T052657_20190822T052722_017694_02149F_B3F9_COG,1,S1B,2019-08-22 05:26:57.391101+00:00,2019-08-22 05:27:22.389713+00:00,descending,168,"[8.225469, 43.337337, 11.834267, 45.239262]",4,4,3,2,11
"S1B|2019-08-27 05:34:42.806516+00:00|2019-08-27 05:35:07.805439+00:00|descending|66|(6.587578, 45.044014, 10.211782, 46.944546)",S1B_IW_GRDH_1SDV_20190827T053442_20190827T053507_017767_0216F5_E93D_COG,1,True,S1B_IW_GRDH_1SDV_20190827T053442_20190827T053507_017767_0216F5_E93D_COG,1,S1B,2019-08-27 05:34:42.806516+00:00,2019-08-27 05:35:07.805439+00:00,descending,66,"[6.587578, 45.044014, 10.211782, 46.944546]",4,4,3,2,11
"S1B|2019-08-27 05:34:51.145068+00:00|2019-08-27 05:35:16.142540+00:00|descending|66|(6.418298, 44.545803, 10.084968, 46.448357)",S1B_IW_GRDH_1SDV_20190827T053451_20190827T053516_017767_0216F5_E219_COG,1,True,S1B_IW_GRDH_1SDV_20190827T053451_20190827T053516_017767_0216F5_E219_COG,1,S1B,2019-08-27 05:34:51.145068+00:00,2019-08-27 05:35:16.142540+00:00,descending,66,"[6.418298, 44.545803, 10.084968, 46.448357]",4,4,3,2,11
"S1B|2019-08-27 05:35:07.806937+00:00|2019-08-27 05:35:32.804360+00:00|descending|66|(6.260748, 43.544891, 9.828989, 45.441902)",S1B_IW_GRDH_1SDV_20190827T053507_20190827T053532_017767_0216F5_AA84_COG,1,True,S1B_IW_GRDH_1SDV_20190827T053507_20190827T053532_017767_0216F5_AA84_COG,1,S1B,2019-08-27 05:35:07.806937+00:00,2019-08-27 05:35:32.804360+00:00,descending,66,"[6.260748, 43.544891, 9.828989, 45.441902]",4,4,3,2,11
"S1B|2019-08-28 17:22:14.873423+00:00|2019-08-28 17:22:39.871429+00:00|ascending|88|(5.929542, 43.472485, 9.49454, 45.379604)",S1B_IW_GRDH_1SDV_20190828T172214_20190828T172239_017789_0217A2_11FE_COG,1,True,S1B_IW_GRDH_1SDV_20190828T172214_20190828T172239_017789_0217A2_11FE_COG,1,S1B,2019-08-28 17:22:14.873423+00:00,2019-08-28 17:22:39.871429+00:00,ascending,88,"[5.929542, 43.472485, 9.49454, 45.379604]",4,4,3,2,11
"S1B|2019-08-28 17:22:14.873761+00:00|2019-08-28 17:22:39.871792+00:00|ascending|88|(5.929565, 43.4725, 9.494566, 45.379623)",S1B_IW_GRDH_1SDV_20190828T172214_20190828T172239_017789_0217A2_2710_COG,1,True,S1B_IW_GRDH_1SDV_20190828T172214_20190828T172239_017789_0217A2_2710_COG,1,S1B,2019-08-28 17:22:14.873761+00:00,2019-08-28 17:22:39.871792+00:00,ascending,88,"[5.929565, 43.4725, 9.494566, 45.379623]",4,4,3,2,11
"S1B|2019-08-28 17:22:39.872944+00:00|2019-08-28 17:23:04.872447+00:00|ascending|88|(5.476103, 44.977268, 9.207591, 46.875)",S1B_IW_GRDH_1SDV_20190828T172239_20190828T172304_017789_0217A2_CAE9_COG,1,True,S1B_IW_GRDH_1SDV_20190828T172239_20190828T172304_017789_0217A2_CAE9_COG,1,S1B,2019-08-28 17:22:39.872944+00:00,2019-08-28 17:23:04.872447+00:00,ascending,88,"[5.476103, 44.977268, 9.207591, 46.875]",4,4,3,2,11
