anchor_year,season_phase,selected_date,orbit_state,relative_orbit,platform,polarization,points_n,corrected_finite_points_n,corrected_finite_share,sigma0_uncorrected_db_n,sigma0_uncorrected_db_min,sigma0_uncorrected_db_p01,sigma0_uncorrected_db_p10,sigma0_uncorrected_db_median,sigma0_uncorrected_db_mean,sigma0_uncorrected_db_p90,sigma0_uncorrected_db_p99,sigma0_uncorrected_db_max,sigma0_corrected_db_n,sigma0_corrected_db_min,sigma0_corrected_db_p01,sigma0_corrected_db_p10,sigma0_corrected_db_median,sigma0_corrected_db_mean,sigma0_corrected_db_p90,sigma0_corrected_db_p99,sigma0_corrected_db_max,noise_effect_db_n,noise_effect_db_min,noise_effect_db_p01,noise_effect_db_p10,noise_effect_db_median,noise_effect_db_mean,noise_effect_db_p90,noise_effect_db_p99,noise_effect_db_max
2020,mid_season,2020-07-12,ascending,15,S1B,VH,4330,4292,0.9912240184757506,4330,-29.244756036913113,-23.93583395496945,-20.507785248620095,-17.12302072868001,-17.157315126157005,-13.93795999219201,-10.372394360877536,-1.53014139076628,4292,-46.80181330220317,-30.090828400677623,-22.688728107346048,-18.061034636022125,-18.387936731131347,-14.378074150941135,-10.574792094652734,-1.5554166012990756,4292,-23.027052831199697,-6.993160423617748,-2.375912972012784,-0.9445162103062827,-1.302614979899183,-0.41155147600654124,-0.18024019527216117,-0.015666765647508907
2020,mid_season,2020-07-12,ascending,15,S1B,VV,4330,4330,1.0,4330,-22.550259357714104,-18.081999925440982,-14.075752122886078,-10.044227233889467,-10.10976652542853,-6.2873967794901455,-2.360724006071703,8.832689849968569,4330,-28.05990794887961,-19.23613005512838,-14.51069498371006,-10.209684927487496,-10.347593547730218,-6.3711992774576025,-2.3889785757947375,8.830590831521407,4330,-5.509648591165504,-1.220800418087956,-0.4475290931684931,-0.17073711903324718,-0.23782702230168917,-0.07033602751607226,-0.028557313998311178,-0.002099018447161427
2020,mid_season,2020-07-16,descending,66,S1B,VH,4331,4330,0.9997691064419303,4331,-25.59367269876555,-21.824448351566563,-19.576247023925035,-17.021934632066486,-16.948149375361318,-14.412915887920544,-10.965564973351464,1.6907379560840765,4330,-31.090830134590043,-24.24170275986595,-20.864061128383053,-17.760184235183985,-17.76173614526526,-14.81556949269146,-11.129001704159672,1.6813022201766439,4330,-7.8348596828048755,-2.8269146265935676,-1.3845634101110331,-0.7080389648275744,-0.8155834265606149,-0.3684504646349366,-0.11915388368417977,2.538163247527958
2020,mid_season,2020-07-16,descending,66,S1B,VV,4331,4331,1.0,4331,-20.85764060610771,-15.702750841095858,-13.133868040929634,-9.986715044975812,-10.008663188460643,-7.096930315452105,-3.375450876210553,7.872260220046053,4331,-23.657128613163458,-16.141256209065798,-13.423973179068602,-10.123554103426478,-10.17079205590212,-7.162089575745592,-3.3959006196062433,7.8700051920757055,4331,-2.7994880070557464,-0.5830346199497519,-0.2910345660159237,-0.13307423754678993,-0.16212886744147714,-0.06101229607750369,-0.02756491015641845,-0.0022550279703477116
2025,establishment,2025-05-15,descending,66,S1C,VH,4331,4164,0.9614407758023551,4331,-32.8609217904077,-29.507210917553824,-25.438454654249014,-20.019954607155896,-20.176228795699465,-15.242026623164644,-11.05948227095823,11.680039343304056,4164,-49.716599433768344,-37.34524366140359,-28.327103796122017,-20.673395585750395,-21.42003383982805,-15.477993975125576,-11.08231783190106,11.679528487652274,4164,-24.334966227346616,-10.235566725877085,-3.5743298321616757,-0.8620339602378575,-1.5744024918892807,-0.26232762938762805,-0.09804826689465698,-0.0005108556517825491
2025,establishment,2025-05-15,descending,66,S1C,VV,4331,4328,0.9993073193257908,4331,-28.04188738267174,-23.921991876736577,-17.42222519301152,-11.192119051550797,-11.745114508493907,-6.84606415825165,-2.7289974117455564,13.49568094833808,4328,-42.69935416007495,-26.69807890379494,-17.937027950863996,-11.321201908063008,-12.001064146457718,-6.880405676011788,-2.740460031621951,13.495241129854637,4328,-15.30371782764188,-2.762907612597714,-0.5147422799135419,-0.11483432627681278,-0.26689954095003143,-0.036014101385467505,-0.012813383882281029,-0.00043981848344287755
2025,establishment,2025-05-17,ascending,15,S1A,VH,4331,3902,0.9009466635880858,4331,-30.56951522246638,-26.18877265085316,-22.950112764327205,-19.121118107089288,-18.897028594449036,-14.56362671759374,-10.422267356097175,2.9967687275870283,3902,-59.12992744120139,-38.31120320266145,-28.151116327975025,-20.734952690941064,-21.262116008910436,-15.007128086749177,-10.345142125195887,2.9844122942149642,3902,-36.02658282795936,-15.652705825836561,-6.31573051158845,-2.0451287269577065,-2.9608761364524607,-0.616995912048274,-0.22789896571717935,-0.012356433372064046
2025,establishment,2025-05-17,ascending,15,S1A,VV,4331,4325,0.9986146386515816,4331,-26.46796500457087,-20.32338018722942,-16.617500136707932,-11.901348399451354,-11.868279810418118,-7.273896236612968,-2.080009046865881,11.428183018296455,4325,-32.75197499669736,-22.923246563289062,-17.582749598473278,-12.196624796920615,-12.333688466248603,-7.382290371710283,-2.1133141545251357,11.426837850880657,4325,-10.296467102896912,-2.8385256840001203,-1.0102005386819655,-0.30597972037725896,-0.48350529523046104,-0.10351034569456008,-0.03363464213797051,-0.001345167415797377
2025,late_season,2025-08-31,descending,66,S1C,VH,4331,4330,0.9997691064419303,4331,-27.251280208194256,-22.520000729193296,-18.819893470596025,-15.43964645515268,-15.580647832803052,-12.543913482188886,-9.939373250889059,0.11236593100988929,4330,-44.801197035783716,-24.348694892619356,-19.573337044288817,-15.774195485047263,-16.01548403753324,-12.706048932869885,-10.061401822382733,0.10413684761017511,4330,-18.646730875227497,-1.9607104305262693,-0.7838426911722581,-0.32599910271686117,-0.43722481961286863,-0.1557903205238846,-0.08464771555778604,-0.008229083399714177
2025,late_season,2025-08-31,descending,66,S1C,VV,4331,4330,0.9997691064419303,4331,-27.33554767308015,-16.66098278400058,-13.16659192043592,-9.714171837624958,-9.803865780526385,-6.628139265244921,-3.1882507960804896,11.17339779719652,4330,-26.499037530399775,-17.163395908249377,-13.339827583460774,-9.805019524142494,-9.912739949886104,-6.6778547450499035,-3.211076388410636,11.17256902512181,4330,-3.246337646910348,-0.48347848507428526,-0.2049648663815294,-0.0851320228654373,-0.1129230566328268,-0.038481519496906105,-0.016870509224588673,-0.0008287720747102156
2025,late_season,2025-09-02,ascending,15,S1A,VH,4331,4304,0.9937658739321172,4331,-28.031116385066618,-22.283320042002188,-19.00375845198691,-15.52661580727154,-15.66146386530931,-12.580819270743842,-10.13209772806244,2.9402342261378385,4304,-47.65909427164872,-27.58831298385457,-21.1064468356258,-16.38223583496166,-16.81005611968032,-12.996128886858434,-10.369152859398676,2.927593249901548,4304,-25.371883337752482,-6.010536977488564,-2.2194605296113785,-0.8657354041195386,-1.1977128421975276,-0.3960078414353085,-0.20360767450292463,-0.01264097623629068
2025,late_season,2025-09-02,ascending,15,S1A,VV,4331,4331,1.0,4331,-21.874967637975796,-17.194988803848148,-13.77729353199941,-10.15181284297266,-10.193268771634695,-6.729853311673991,-3.4763614227752395,6.455791069419201,4331,-27.98786329498713,-18.476758039912617,-14.301387742966396,-10.375122762343892,-10.474504798940542,-6.822927802382004,-3.5227573629264435,6.4513688118852155,4331,-6.112895657011332,-1.317297063535089,-0.5254176059678723,-0.21228448341059725,-0.28123602730584646,-0.08915202319471316,-0.037684752741659534,-0.004422257533985174
2025,mid_season,2025-07-14,descending,66,S1C,VH,4331,4323,0.9981528515354422,4331,-29.57591920484294,-24.391001765838237,-20.773816170500247,-17.304229340290473,-17.37399313125083,-14.171671433467099,-10.962063321974446,1.0064695562976695,4323,-47.49482643526031,-27.540802941700644,-21.980362440105186,-17.81849412427176,-18.04724011912336,-14.404537212104266,-11.088428278827124,0.9991131795120873,4323,-21.408417765347025,-3.547028945418542,-1.255997823824155,-0.5090991748061597,-0.6921375943035027,-0.23268154119008558,-0.11326073729824616,-0.007356376785582208
2025,mid_season,2025-07-14,descending,66,S1C,VV,4331,4331,1.0,4331,-24.495194728401938,-18.108329792051475,-14.147872833599546,-10.205231035584104,-10.291356438014397,-6.6887030498726,-3.192490141152894,12.364835633299087,4331,-27.677184550312113,-18.78032986776305,-14.39013241716484,-10.295777392512193,-10.429189134920854,-6.731196890151719,-3.2158400861923044,12.364203929139721,4331,-4.398560856130054,-0.7134199110949225,-0.262304124516179,-0.09681913788086227,-0.137832696906458,-0.03818791011892486,-0.01651041324789438,-0.0006317041593657535
2025,mid_season,2025-07-16,ascending,15,S1A,VH,4331,4261,0.9838374509351189,4331,-27.030178256364582,-23.66191466398549,-19.927356015751855,-16.53523032097172,-16.627197162960044,-13.487564052666565,-10.461465450786818,2.313463310485534,4261,-56.09996788286136,-30.51727577856438,-22.62640311669039,-17.655753829361043,-18.132806936069017,-13.988641221004547,-10.690988789853554,2.2981124229772263,4261,-33.93353171680279,-8.846239864029256,-2.9624050410109852,-1.1665085242377913,-1.6239759958680642,-0.5177569437134615,-0.24701923479634508,-0.015350887508307931
2025,mid_season,2025-07-16,ascending,15,S1A,VV,4331,4330,0.9997691064419303,4331,-23.352904007286092,-17.687453933559,-14.152346123836042,-10.120989582966327,-10.235335846528942,-6.537063263508052,-2.7517460230112905,6.605502327358325,4330,-30.306139025005198,-19.151463686253624,-14.709391773353378,-10.344771968827477,-10.527355639354145,-6.631434387596924,-2.791304364714314,6.600371297179627,4330,-7.6765444287519635,-1.4540854370240892,-0.5604842898515597,-0.21510785387767495,-0.29504925429419954,-0.0901907153941278,-0.03797788659404208,-0.005131030178698204
