item_id,scl_href,open_attempts,driver,crs,crs_source,raster_crs_original,transform,width,height,dtype,nodata,support_points_inside_raster_n,support_points_sampled_n,unknown_scl_values_n,status,target_id,anchor_year,season_phase,s1_selected_date,optical_date,mgrs_tile,platform
S2A_MSIL2A_20250517T101701_N0511_R065_T32TMQ_20250517T120915,s3://eodata/Sentinel-2/MSI/L2A/2025/05/17/S2A_MSIL2A_20250517T101701_N0511_R065_T32TMQ_20250517T120915.SAFE/GRANULE/L2A_T32TMQ_A051714_20250517T102728/IMG_DATA/R20m/T32TMQ_20250517T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,32TMQ,S2A
S2A_MSIL2A_20250517T101701_N0511_R065_T32TMR_20250517T120915,s3://eodata/Sentinel-2/MSI/L2A/2025/05/17/S2A_MSIL2A_20250517T101701_N0511_R065_T32TMR_20250517T120915.SAFE/GRANULE/L2A_T32TMR_A051714_20250517T102728/IMG_DATA/R20m/T32TMR_20250517T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,32TMR,S2A
S2A_MSIL2A_20250517T101701_N0511_R065_T32TNQ_20250517T120915,s3://eodata/Sentinel-2/MSI/L2A/2025/05/17/S2A_MSIL2A_20250517T101701_N0511_R065_T32TNQ_20250517T120915.SAFE/GRANULE/L2A_T32TNQ_A051714_20250517T102728/IMG_DATA/R20m/T32TNQ_20250517T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,32TNQ,S2A
S2A_MSIL2A_20250517T101701_N0511_R065_T32TNR_20250517T120915,s3://eodata/Sentinel-2/MSI/L2A/2025/05/17/S2A_MSIL2A_20250517T101701_N0511_R065_T32TNR_20250517T120915.SAFE/GRANULE/L2A_T32TNR_A051714_20250517T102728/IMG_DATA/R20m/T32TNR_20250517T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,32TNR,S2A
S2A_MSIL2A_20250716T101701_N0511_R065_T32TMQ_20250716T142417,s3://eodata/Sentinel-2/MSI/L2A/2025/07/16/S2A_MSIL2A_20250716T101701_N0511_R065_T32TMQ_20250716T142417.SAFE/GRANULE/L2A_T32TMQ_A052572_20250716T102732/IMG_DATA/R20m/T32TMQ_20250716T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2025|mid_season|2025-07-16|ascending|15,2025,mid_season,2025-07-16,2025-07-16,32TMQ,S2A
S2A_MSIL2A_20250716T101701_N0511_R065_T32TMR_20250716T142417,s3://eodata/Sentinel-2/MSI/L2A/2025/07/16/S2A_MSIL2A_20250716T101701_N0511_R065_T32TMR_20250716T142417.SAFE/GRANULE/L2A_T32TMR_A052572_20250716T102732/IMG_DATA/R20m/T32TMR_20250716T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2025|mid_season|2025-07-16|ascending|15,2025,mid_season,2025-07-16,2025-07-16,32TMR,S2A
S2A_MSIL2A_20250716T101701_N0511_R065_T32TNQ_20250716T142417,s3://eodata/Sentinel-2/MSI/L2A/2025/07/16/S2A_MSIL2A_20250716T101701_N0511_R065_T32TNQ_20250716T142417.SAFE/GRANULE/L2A_T32TNQ_A052572_20250716T102732/IMG_DATA/R20m/T32TNQ_20250716T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2025|mid_season|2025-07-16|ascending|15,2025,mid_season,2025-07-16,2025-07-16,32TNQ,S2A
S2A_MSIL2A_20250716T101701_N0511_R065_T32TNR_20250716T142417,s3://eodata/Sentinel-2/MSI/L2A/2025/07/16/S2A_MSIL2A_20250716T101701_N0511_R065_T32TNR_20250716T142417.SAFE/GRANULE/L2A_T32TNR_A052572_20250716T102732/IMG_DATA/R20m/T32TNR_20250716T101701_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2025|mid_season|2025-07-16|ascending|15,2025,mid_season,2025-07-16,2025-07-16,32TNR,S2A
S2C_MSIL2A_20250902T102041_N0511_R065_T32TMQ_20250902T160316,s3://eodata/Sentinel-2/MSI/L2A/2025/09/02/S2C_MSIL2A_20250902T102041_N0511_R065_T32TMQ_20250902T160316.SAFE/GRANULE/L2A_T32TMQ_A005183_20250902T102618/IMG_DATA/R20m/T32TMQ_20250902T102041_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2025|late_season|2025-09-02|ascending|15,2025,late_season,2025-09-02,2025-09-02,32TMQ,S2C
S2C_MSIL2A_20250902T102041_N0511_R065_T32TMR_20250902T160316,s3://eodata/Sentinel-2/MSI/L2A/2025/09/02/S2C_MSIL2A_20250902T102041_N0511_R065_T32TMR_20250902T160316.SAFE/GRANULE/L2A_T32TMR_A005183_20250902T102618/IMG_DATA/R20m/T32TMR_20250902T102041_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2025|late_season|2025-09-02|ascending|15,2025,late_season,2025-09-02,2025-09-02,32TMR,S2C
S2C_MSIL2A_20250902T102041_N0511_R065_T32TNQ_20250902T160316,s3://eodata/Sentinel-2/MSI/L2A/2025/09/02/S2C_MSIL2A_20250902T102041_N0511_R065_T32TNQ_20250902T160316.SAFE/GRANULE/L2A_T32TNQ_A005183_20250902T102618/IMG_DATA/R20m/T32TNQ_20250902T102041_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2025|late_season|2025-09-02|ascending|15,2025,late_season,2025-09-02,2025-09-02,32TNQ,S2C
S2C_MSIL2A_20250902T102041_N0511_R065_T32TNR_20250902T160316,s3://eodata/Sentinel-2/MSI/L2A/2025/09/02/S2C_MSIL2A_20250902T102041_N0511_R065_T32TNR_20250902T160316.SAFE/GRANULE/L2A_T32TNR_A005183_20250902T102618/IMG_DATA/R20m/T32TNR_20250902T102041_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2025|late_season|2025-09-02|ascending|15,2025,late_season,2025-09-02,2025-09-02,32TNR,S2C
S2C_MSIL2A_20250515T101611_N0511_R065_T32TMQ_20250515T154718,s3://eodata/Sentinel-2/MSI/L2A/2025/05/15/S2C_MSIL2A_20250515T101611_N0511_R065_T32TMQ_20250515T154718.SAFE/GRANULE/L2A_T32TMQ_A003610_20250515T102316/IMG_DATA/R20m/T32TMQ_20250515T101611_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,32TMQ,S2C
S2C_MSIL2A_20250515T101611_N0511_R065_T32TMR_20250515T154718,s3://eodata/Sentinel-2/MSI/L2A/2025/05/15/S2C_MSIL2A_20250515T101611_N0511_R065_T32TMR_20250515T154718.SAFE/GRANULE/L2A_T32TMR_A003610_20250515T102316/IMG_DATA/R20m/T32TMR_20250515T101611_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,32TMR,S2C
S2C_MSIL2A_20250515T101611_N0511_R065_T32TNQ_20250515T154718,s3://eodata/Sentinel-2/MSI/L2A/2025/05/15/S2C_MSIL2A_20250515T101611_N0511_R065_T32TNQ_20250515T154718.SAFE/GRANULE/L2A_T32TNQ_A003610_20250515T102316/IMG_DATA/R20m/T32TNQ_20250515T101611_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,32TNQ,S2C
S2C_MSIL2A_20250515T101611_N0511_R065_T32TNR_20250515T154718,s3://eodata/Sentinel-2/MSI/L2A/2025/05/15/S2C_MSIL2A_20250515T101611_N0511_R065_T32TNR_20250515T154718.SAFE/GRANULE/L2A_T32TNR_A003610_20250515T102316/IMG_DATA/R20m/T32TNR_20250515T101611_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,32TNR,S2C
