scene_id,resolve_status,resolve_source,remote_attempts,platform,datetime,end_datetime,instrument_mode,polarizations,orbit_state,relative_orbit,absolute_orbit,product_type,processing_level,bbox,asset_count,stac_item_url
S1A_IW_GRDH_1SDV_20150701T053521_20150701T053546_006613_008D1C_4F50_COG,OK,CACHE,0,sentinel-1a,2015-07-01T05:35:21.022888Z,2015-07-01T05:35:46.021451Z,IW,VV|VH,descending,66,6613,,L1,"[6.312795, 43.579384, 9.859603, 45.474335]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150701T053521_20150701T053546_006613_008D1C_4F50_COG
S1A_IW_GRDH_1SDV_20150702T172241_20150702T172306_006635_008DA4_BB6D_COG,OK,CACHE,0,sentinel-1a,2015-07-02T17:22:41.530066Z,2015-07-02T17:23:06.529162Z,IW,VV|VH,ascending,88,6635,,L1,"[5.713297, 44.24649, 9.357375, 46.144814]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150702T172241_20150702T172306_006635_008DA4_BB6D_COG
S1A_IW_GRDH_1SDV_20150708T052642_20150708T052717_006715_008FD3_506E_COG,OK,CACHE,0,sentinel-1a,2015-07-08T05:26:42.069908Z,2015-07-08T05:27:17.391779Z,IW,VV|VH,descending,168,6715,,L1,"[8.577674, 44.47506, 12.264106, 46.98481]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150708T052642_20150708T052717_006715_008FD3_506E_COG
S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,OK,CACHE,0,sentinel-1a,2015-07-09T17:14:26.849183Z,2015-07-09T17:14:51.847249Z,IW,VV|VH,ascending,15,6737,,L1,"[7.778789, 44.188457, 11.354259, 46.084194]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG
S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG,OK,CACHE,0,sentinel-1a,2015-07-13T05:34:52.544109Z,2015-07-13T05:35:21.453953Z,IW,VV|VH,descending,66,6788,,L1,"[6.643077, 45.078487, 10.304767, 47.212044]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG
S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG,OK,CACHE,0,sentinel-1a,2015-07-13T05:35:21.455448Z,2015-07-13T05:35:46.453907Z,IW,VV|VH,descending,66,6788,,L1,"[6.314782, 43.579346, 9.861492, 45.474312]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG
S1A_IW_GRDH_1SDV_20150714T172242_20150714T172307_006810_0092A3_18D0_COG,OK,CACHE,0,sentinel-1a,2015-07-14T17:22:42.014693Z,2015-07-14T17:23:07.013872Z,IW,VV|VH,ascending,88,6810,,L1,"[5.714118, 44.246357, 9.35831, 46.144722]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150714T172242_20150714T172307_006810_0092A3_18D0_COG
S1A_IW_GRDH_1SDV_20150720T052637_20150720T052706_006890_0094E5_8481_COG,OK,CACHE,0,sentinel-1a,2015-07-20T05:26:37.604910Z,2015-07-20T05:27:06.521685Z,IW,VV|VH,descending,168,6890,,L1,"[8.729129, 45.186913, 12.370461, 47.318352]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150720T052637_20150720T052706_006890_0094E5_8481_COG
S1A_IW_GRDH_1SDV_20150720T052706_20150720T052731_006890_0094E5_47E5_COG,OK,CACHE,0,sentinel-1a,2015-07-20T05:27:06.523183Z,2015-07-20T05:27:31.522135Z,IW,VV|VH,descending,168,6890,,L1,"[8.396688, 43.688293, 11.931108, 45.579823]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150720T052706_20150720T052731_006890_0094E5_47E5_COG
S1A_IW_GRDH_1SDV_20150721T171427_20150721T171452_006912_00957B_A420_COG,OK,CACHE,0,sentinel-1a,2015-07-21T17:14:27.968370Z,2015-07-21T17:14:52.966295Z,IW,VV|VH,ascending,15,6912,,L1,"[7.778223, 44.188671, 11.353434, 46.084339]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150721T171427_20150721T171452_006912_00957B_A420_COG
S1A_IW_GRDH_1SDV_20150725T053453_20150725T053522_006963_009700_FC29_COG,OK,CACHE,0,sentinel-1a,2015-07-25T05:34:53.439584Z,2015-07-25T05:35:22.351159Z,IW,VV|VH,descending,66,6963,,L1,"[6.643322, 45.07835, 10.304628, 47.21212]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150725T053453_20150725T053522_006963_009700_FC29_COG
S1A_IW_GRDH_1SDV_20150725T053522_20150725T053547_006963_009700_911F_COG,OK,CACHE,0,sentinel-1a,2015-07-25T05:35:22.352655Z,2015-07-25T05:35:47.351318Z,IW,VV|VH,descending,66,6963,,L1,"[6.314868, 43.579208, 9.861843, 45.474258]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150725T053522_20150725T053547_006963_009700_911F_COG
