anchor_year,season_phase,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,vv_asset_found,vv_asset_key,vv_href,vh_asset_found,vh_asset_key,vh_href,canonical_scenes_n,platforms,vv_assets_complete,vh_assets_complete
2020,establishment,2020-05-17,descending,66,S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG.SAFE/measurement/s1b-iw-grd-vv-20200517t053451-20200517t053516-021617-02909e-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG.SAFE/measurement/s1b-iw-grd-vh-20200517t053451-20200517t053516-021617-02909e-002-cog.tiff,3,S1B,True,True
2020,establishment,2020-05-17,descending,66,S1B_IW_GRDH_1SDV_20200517T053508_20200517T053533_021617_02909E_1E32_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053508_20200517T053533_021617_02909E_1E32_COG.SAFE/measurement/s1b-iw-grd-vv-20200517t053508-20200517t053533-021617-02909e-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/17/S1B_IW_GRDH_1SDV_20200517T053508_20200517T053533_021617_02909E_1E32_COG.SAFE/measurement/s1b-iw-grd-vh-20200517t053508-20200517t053533-021617-02909e-002-cog.tiff,3,S1B,True,True
2020,mid_season,2020-07-16,descending,66,S1B_IW_GRDH_1SDV_20200716T053446_20200716T053511_022492_02AB06_1455_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/16/S1B_IW_GRDH_1SDV_20200716T053446_20200716T053511_022492_02AB06_1455_COG.SAFE/measurement/s1b-iw-grd-vv-20200716t053446-20200716t053511-022492-02ab06-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/16/S1B_IW_GRDH_1SDV_20200716T053446_20200716T053511_022492_02AB06_1455_COG.SAFE/measurement/s1b-iw-grd-vh-20200716t053446-20200716t053511-022492-02ab06-002-cog.tiff,3,S1B,True,True
2020,mid_season,2020-07-16,descending,66,S1B_IW_GRDH_1SDV_20200716T053455_20200716T053520_022492_02AB06_34E9_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/16/S1B_IW_GRDH_1SDV_20200716T053455_20200716T053520_022492_02AB06_34E9_COG.SAFE/measurement/s1b-iw-grd-vv-20200716t053455-20200716t053520-022492-02ab06-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/16/S1B_IW_GRDH_1SDV_20200716T053455_20200716T053520_022492_02AB06_34E9_COG.SAFE/measurement/s1b-iw-grd-vh-20200716t053455-20200716t053520-022492-02ab06-002-cog.tiff,3,S1B,True,True
2020,mid_season,2020-07-16,descending,66,S1B_IW_GRDH_1SDV_20200716T053511_20200716T053536_022492_02AB06_E10B_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/16/S1B_IW_GRDH_1SDV_20200716T053511_20200716T053536_022492_02AB06_E10B_COG.SAFE/measurement/s1b-iw-grd-vv-20200716t053511-20200716t053536-022492-02ab06-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/07/16/S1B_IW_GRDH_1SDV_20200716T053511_20200716T053536_022492_02AB06_E10B_COG.SAFE/measurement/s1b-iw-grd-vh-20200716t053511-20200716t053536-022492-02ab06-002-cog.tiff,3,S1B,True,True
2020,late_season,2020-09-02,descending,66,S1B_IW_GRDH_1SDV_20200902T053450_20200902T053515_023192_02C0A1_65BC_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/09/02/S1B_IW_GRDH_1SDV_20200902T053450_20200902T053515_023192_02C0A1_65BC_COG.SAFE/measurement/s1b-iw-grd-vv-20200902t053450-20200902t053515-023192-02c0a1-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/09/02/S1B_IW_GRDH_1SDV_20200902T053450_20200902T053515_023192_02C0A1_65BC_COG.SAFE/measurement/s1b-iw-grd-vh-20200902t053450-20200902t053515-023192-02c0a1-002-cog.tiff,3,S1B,True,True
2020,late_season,2020-09-02,descending,66,S1B_IW_GRDH_1SDV_20200902T053457_20200902T053522_023192_02C0A1_694F_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/09/02/S1B_IW_GRDH_1SDV_20200902T053457_20200902T053522_023192_02C0A1_694F_COG.SAFE/measurement/s1b-iw-grd-vv-20200902t053457-20200902t053522-023192-02c0a1-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/09/02/S1B_IW_GRDH_1SDV_20200902T053457_20200902T053522_023192_02C0A1_694F_COG.SAFE/measurement/s1b-iw-grd-vh-20200902t053457-20200902t053522-023192-02c0a1-002-cog.tiff,3,S1B,True,True
2020,late_season,2020-09-02,descending,66,S1B_IW_GRDH_1SDV_20200902T053515_20200902T053540_023192_02C0A1_F39C_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/09/02/S1B_IW_GRDH_1SDV_20200902T053515_20200902T053540_023192_02C0A1_F39C_COG.SAFE/measurement/s1b-iw-grd-vv-20200902t053515-20200902t053540-023192-02c0a1-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/09/02/S1B_IW_GRDH_1SDV_20200902T053515_20200902T053540_023192_02C0A1_F39C_COG.SAFE/measurement/s1b-iw-grd-vh-20200902t053515-20200902t053540-023192-02c0a1-002-cog.tiff,3,S1B,True,True
2025,establishment,2025-05-17,ascending,15,S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/05/17/S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG.SAFE/measurement/s1a-iw-grd-vv-20250517t171511-20250517t171536-059237-0759ce-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/05/17/S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG.SAFE/measurement/s1a-iw-grd-vh-20250517t171511-20250517t171536-059237-0759ce-002-cog.tiff,1,S1A,True,True
2025,mid_season,2025-07-16,ascending,15,S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/07/16/S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG.SAFE/measurement/s1a-iw-grd-vv-20250716t171508-20250716t171533-060112-077801-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/07/16/S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG.SAFE/measurement/s1a-iw-grd-vh-20250716t171508-20250716t171533-060112-077801-002-cog.tiff,1,S1A,True,True
2025,late_season,2025-09-02,ascending,15,S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/09/02/S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG.SAFE/measurement/s1a-iw-grd-vv-20250902t171508-20250902t171533-060812-07921d-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/09/02/S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG.SAFE/measurement/s1a-iw-grd-vh-20250902t171508-20250902t171533-060812-07921d-002-cog.tiff,1,S1A,True,True
2025,establishment,2025-05-15,descending,66,S1C_IW_GRDH_1SDV_20250515T053436_20250515T053501_002337_004EE6_613B_COG,S1C,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/05/15/S1C_IW_GRDH_1SDV_20250515T053436_20250515T053501_002337_004EE6_613B_COG.SAFE/measurement/s1c-iw-grd-vv-20250515t053436-20250515t053501-002337-004ee6-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/05/15/S1C_IW_GRDH_1SDV_20250515T053436_20250515T053501_002337_004EE6_613B_COG.SAFE/measurement/s1c-iw-grd-vh-20250515t053436-20250515t053501-002337-004ee6-002-cog.tiff,1,S1C,True,True
2025,mid_season,2025-07-14,descending,66,S1C_IW_GRDH_1SDV_20250714T053441_20250714T053506_003212_0067EB_EE07_COG,S1C,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/07/14/S1C_IW_GRDH_1SDV_20250714T053441_20250714T053506_003212_0067EB_EE07_COG.SAFE/measurement/s1c-iw-grd-vv-20250714t053441-20250714t053506-003212-0067eb-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/07/14/S1C_IW_GRDH_1SDV_20250714T053441_20250714T053506_003212_0067EB_EE07_COG.SAFE/measurement/s1c-iw-grd-vh-20250714t053441-20250714t053506-003212-0067eb-002-cog.tiff,1,S1C,True,True
2025,late_season,2025-08-31,descending,66,S1C_IW_GRDH_1SDV_20250831T053443_20250831T053508_003912_007CAC_02DA_COG,S1C,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/08/31/S1C_IW_GRDH_1SDV_20250831T053443_20250831T053508_003912_007CAC_02DA_COG.SAFE/measurement/s1c-iw-grd-vv-20250831t053443-20250831t053508-003912-007cac-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2025/08/31/S1C_IW_GRDH_1SDV_20250831T053443_20250831T053508_003912_007CAC_02DA_COG.SAFE/measurement/s1c-iw-grd-vh-20250831t053443-20250831t053508-003912-007cac-002-cog.tiff,1,S1C,True,True
