anchor_year,season_phase,selected_date,orbit_state,relative_orbit,platform,polarization,points_n,points_with_multi_scene_overlap_n,sigma0_db_n,sigma0_db_min,sigma0_db_p01,sigma0_db_p10,sigma0_db_median,sigma0_db_mean,sigma0_db_p90,sigma0_db_p99,sigma0_db_max,sigma0_db_sd,beta0_db_n,beta0_db_min,beta0_db_p01,beta0_db_p10,beta0_db_median,beta0_db_mean,beta0_db_p90,beta0_db_p99,beta0_db_max,beta0_db_sd,gamma0_db_n,gamma0_db_min,gamma0_db_p01,gamma0_db_p10,gamma0_db_median,gamma0_db_mean,gamma0_db_p90,gamma0_db_p99,gamma0_db_max,gamma0_db_sd
2020,mid_season,2020-07-12,ascending,15,S1B,VH,4330,4330,4330,-29.244756036913078,-23.935833954969393,-20.507785248620092,-17.123020728680004,-17.15731512615699,-13.937959992192004,-10.372394360877536,-1.53014139076628,2.731114743263733,4330,-26.666623934790078,-21.693785410704216,-18.098037318391317,-14.72469249886183,-14.732738950196328,-11.439003132115062,-7.83299320146,1.0194666292972456,2.7427780824213475,4330,-28.454518954860532,-23.014239188128574,-19.654941386479393,-16.261349244483917,-16.290618196955784,-13.08566777419885,-9.555379600038112,-0.7272634192599072,2.7295808709751115
2020,mid_season,2020-07-12,ascending,15,S1B,VV,4330,4330,4330,-22.55025935771404,-18.081999925440957,-14.07575212288607,-10.044227233889465,-10.109766525428526,-6.287396779490144,-2.360724006071703,8.832689849968569,3.174795588071884,4330,-20.354325202850234,-15.78526304778456,-11.685198025375577,-7.625753028002341,-7.685190362915972,-3.8290807642984825,0.15677922874586547,11.320831074669774,3.198533529077252,4330,-21.795008635436524,-17.201801047566043,-13.189181814050983,-9.163550407419972,-9.243069589593519,-5.428558260729616,-1.526947288377105,9.663639535094164,3.166408075618981
2020,mid_season,2020-07-16,descending,66,S1B,VH,4331,4331,4331,-25.593672698765527,-21.82444835156652,-19.576247023925003,-17.021934632066483,-16.948149375361307,-14.412915887920533,-10.96556497335146,1.6907379560840765,2.2041669130032853,4331,-23.39514640464163,-19.671574410826473,-17.382474951214522,-14.810453235345001,-14.722702959726025,-12.10795497144153,-8.556687973064115,4.069745483643982,2.253158967121963,4331,-24.613247203372424,-20.8140743781472,-18.54341321436457,-16.06427405762998,-15.97672111343532,-13.484510632851958,-10.04590591612078,2.574501264756062,2.1827899072859798
2020,mid_season,2020-07-16,descending,66,S1B,VV,4331,4331,4331,-20.8576406061077,-15.70275084109585,-13.133868040929633,-9.98671504497581,-10.008663188460641,-7.096930315452105,-3.375450876210553,7.872260220046053,2.5141073783647006,4331,-18.628865419939913,-13.529718220019918,-10.943813971008273,-7.757543097858913,-7.783227667413737,-4.855632598995037,-1.2150486508798202,10.251280466733919,2.5236877200245758,4331,-19.894297912634002,-14.666305727851057,-12.16634092528434,-9.031060639294333,-9.037227056462537,-6.119750319969538,-2.2714593643132375,8.756017095589065,2.514450177723804
2025,establishment,2025-05-15,descending,66,S1C,VH,4331,0,4331,-32.860921790407176,-29.507210917553518,-25.4384546542489,-20.019954607155874,-20.176228795699426,-15.24202662316464,-11.059482270958227,11.680039343304056,4.002046702083439,4331,-30.593006119916943,-27.367831125782445,-23.14528803592395,-17.80897013326636,-17.952668938161434,-13.09178085208294,-8.906588405916223,13.839004088257829,4.023984324802537,4331,-31.919137991785128,-28.456390418907798,-24.45004590493532,-19.03692005965709,-19.20422415586238,-14.264108329670195,-10.092534389953853,12.683352747637537,3.9933574351453296
2025,establishment,2025-05-15,descending,66,S1C,VV,4331,0,4331,-28.04188738267174,-23.9219918767365,-17.422225193011514,-11.192119051550796,-11.745114508493902,-6.84606415825165,-2.7289974117455564,13.49568094833808,4.338301537862882,4331,-25.911341999249583,-21.69427469295172,-15.239289785807369,-8.95783274120823,-9.521554650955904,-4.66597145219273,-0.5523451954171779,16.018168025431194,4.345996679246669,4331,-27.021708896596863,-22.948410787668784,-16.47857346652572,-10.251694845776072,-10.773109868656855,-5.861479211884559,-1.6637990996532945,14.310801525863933,4.3372952785004095
2025,establishment,2025-05-17,ascending,15,S1A,VH,4331,0,4331,-30.569515222466226,-26.18877265085314,-22.95011276432719,-19.121118107089266,-18.89702859444901,-14.563626717593731,-10.422267356097171,2.9967687275870283,3.3479152491371633,4331,-28.41011673141558,-23.68833295679625,-20.451316557974828,-16.613606033196564,-16.469377201805962,-12.077926687359193,-8.014051935837307,5.559627001182874,3.3547629135404726,4331,-29.566456238470682,-25.332722667314872,-22.10678827718272,-18.242667809696954,-18.031618460644737,-13.686751199811004,-9.5574599117697,3.79374554574793,3.3484865011913807
2025,establishment,2025-05-17,ascending,15,S1A,VV,4331,0,4331,-26.467965004570793,-20.3233801872294,-16.617500136707918,-11.901348399451347,-11.868279810418112,-7.273896236612968,-2.080009046865881,11.428183018296455,3.750908815555923,4331,-23.973141739088454,-17.80897013326636,-14.239810286570595,-9.487624347072671,-9.440628417775063,-4.7605555770739425,0.3639415408011833,13.790448139278046,3.7673589474594475,4331,-25.64012466615302,-19.52966328133088,-15.763887520636406,-11.0227419778409,-11.002869676613836,-6.448552273458037,-1.262083295790433,12.320404972877508,3.74623224834846
2025,late_season,2025-08-31,descending,66,S1C,VH,4331,0,4331,-27.251280208194153,-22.520000729193267,-18.819893470596,-15.43964645515267,-15.580647832803047,-12.543913482188886,-9.939373250889057,0.11236593100989023,2.5767436150817784,4331,-25.096779187862552,-20.326304924271962,-16.664700650465928,-13.231057847453405,-13.35571712176249,-10.25799763327857,-7.726268225603898,2.272677580944688,2.592632325816843,4331,-26.24533986885971,-21.50223773131193,-17.839337613060206,-14.461899709997866,-14.60941027557661,-11.580772292632327,-8.960221128935586,1.114889110100132,2.572661253287976
2025,late_season,2025-08-31,descending,66,S1C,VV,4331,0,4331,-27.335547673080143,-16.660982784000566,-13.166591920435915,-9.714171837624955,-9.803865780526383,-6.62813926524492,-3.1882507960804896,11.17339779719652,2.8048969350653787,4331,-25.096779187862552,-14.467200847017448,-10.911379968345935,-7.480507342246723,-7.578935069485829,-4.396193543815187,-0.9926919088996556,13.697598459219545,2.8239969971472814,4331,-26.377772903939338,-15.704630661307434,-12.190855111037546,-8.733505493961696,-8.83262822329995,-5.650088533878832,-2.3553468985093273,11.987738582531676,2.7991270085515736
2025,late_season,2025-09-02,ascending,15,S1A,VH,4331,0,4331,-28.03111638506649,-22.28332004200215,-19.003758451986887,-15.526615807271531,-15.661463865309303,-12.580819270743838,-10.132097728062437,2.9402342261378385,2.555928264785995,4331,-25.911341999249583,-19.71164523291143,-16.613606033196564,-13.09178085208294,-13.23525636469765,-10.110332525582553,-7.670445406352179,5.501462344289227,2.5693786631393345,4331,-27.004451089771663,-21.417656131051533,-18.144011110407785,-14.6734248428522,-14.795354413484493,-11.707743028699886,-9.316950663111783,3.7379333877394307,2.5543809657974745
2025,late_season,2025-09-02,ascending,15,S1A,VV,4331,0,4331,-21.874967637975743,-17.194988803848137,-13.777293531999407,-10.151812842972658,-10.193268771634692,-6.729853311673991,-3.476361422775239,6.455791069419201,2.888139403569585,4331,-19.364163311522972,-14.825597808610347,-11.303772627496722,-7.714874606231341,-7.767061271023041,-4.2676068755025796,-0.9805701354134087,8.816588046283268,2.8804194116220847,4331,-21.054502587853584,-16.309708732844246,-12.932511247942415,-9.29068854743904,-9.327159319809889,-5.858538921322669,-2.5893577981878027,7.3487596824497565,2.8963806764004736
2025,mid_season,2025-07-14,descending,66,S1C,VH,4331,0,4331,-29.575919204842908,-24.39100176583814,-20.77381617050022,-17.304229340290462,-17.373993131250817,-14.171671433467093,-10.962063321974444,1.0064695562976695,2.714294011747697,4331,-27.480507342246725,-22.174218474297792,-18.570061969287522,-15.103037535494474,-15.148904642291837,-11.84162255423107,-8.632645099953717,3.2160404100605366,2.737785556301052,4331,-28.53439680828567,-23.395330563276676,-19.820310930390374,-16.31996632899718,-16.40284188869948,-13.212692160438522,-10.028153814781271,1.980601851612496,2.7061599080215504
2025,mid_season,2025-07-14,descending,66,S1C,VV,4331,0,4331,-24.49519472840189,-18.108329792051453,-14.147872833599537,-10.205231035584102,-10.291356438014391,-6.6887030498726,-3.192490141152894,12.364835633299087,3.0876323018683434,4331,-22.4260010204582,-15.872987250542806,-11.917482334573851,-7.950129259237181,-8.066267949055415,-4.492883480727525,-0.8616069387569828,14.889312258904425,3.086204693848683,4331,-23.43737478829407,-17.131051501563334,-13.186549612238522,-9.231440732576235,-9.320205195463055,-5.707266082982975,-2.243307791122824,13.179050595104755,3.093029603655086
2025,mid_season,2025-07-16,ascending,15,S1A,VH,4331,0,4331,-27.03017825636448,-23.66191466398547,-19.92735601575182,-16.535230320971714,-16.627197162960037,-13.487564052666563,-10.461465450786815,2.313463310485534,2.6443625410601403,4331,-24.888291550301954,-21.25988969908699,-17.528755844410068,-14.145907862403,-14.19939700730688,-10.973470866185549,-8.000154479474212,4.876453642200518,2.6631936901330153,4331,-26.016771407193676,-22.807427831843714,-19.04621968650447,-15.676923366084708,-15.761859125177049,-12.610234183219015,-9.598103905857341,3.1103808218815168,2.639911457579745
2025,mid_season,2025-07-16,ascending,15,S1A,VV,4331,0,4331,-23.352904007286067,-17.68745393355899,-14.15234612383603,-10.120989582966324,-10.235335846528939,-6.537063263508052,-2.7517460230112905,6.605502327358325,3.1039210173767655,4331,-21.050581025523694,-15.345866455908705,-11.788370219986737,-7.714874606231341,-7.807535690875783,-4.0312415519565965,-0.4051327540342986,8.889329077445606,3.1260534094606456,4331,-22.42957600266534,-16.84409392949557,-13.293657137835321,-9.261194929129598,-9.36999780874595,-5.698040839475817,-1.8253064194992885,7.538695162555474,3.0968008460437884
