orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,invalid_scene_bboxes_n,study_bbox_coverage_fraction,study_bbox_coverage_pct,full_coverage_ge_99_5pct,high_coverage_ge_95pct
ascending,15,2023-04-22,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-05-04,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-05-16,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-05-28,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-06-09,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-06-21,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-07-03,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-07-15,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-07-27,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-08-08,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-08-20,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-09-01,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-09-13,2023,1,1,0,1.0,100.0,True,True
ascending,15,2023-09-25,2023,1,1,0,1.0,100.0,True,True
ascending,15,2024-04-04,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-04-16,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-04-28,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-05-10,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-05-22,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-06-03,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-06-15,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-06-27,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-07-09,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-07-21,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-08-02,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-08-14,2024,2,2,0,1.0,100.0,True,True
ascending,15,2024-08-26,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-09-07,2024,1,1,0,1.0,100.0,True,True
ascending,15,2024-09-19,2024,1,1,0,1.0,100.0,True,True
ascending,15,2025-04-11,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-04-23,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-05-05,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-05-11,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-05-17,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-05-23,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-05-29,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-06-04,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-06-10,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-06-16,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-06-22,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-06-28,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-07-04,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-07-10,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-07-16,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-07-22,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-07-28,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-08-03,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-08-09,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-08-15,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-08-21,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-08-27,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-09-02,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-09-08,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-09-14,2025,1,1,0,1.0,100.0,True,True
ascending,15,2025-09-20,2025,2,2,0,1.0,100.0,True,True
ascending,15,2025-09-26,2025,3,3,0,1.0,100.0,True,True
ascending,88,2015-04-21,2015,1,1,0,0.8231550868309547,82.31550868309547,False,False
ascending,88,2015-05-15,2015,1,1,0,0.8332790623896597,83.32790623896597,False,False
ascending,88,2015-07-02,2015,1,1,0,0.8324765737038466,83.24765737038466,False,False
ascending,88,2015-07-14,2015,1,1,0,0.8330278793035781,83.30278793035781,False,False
ascending,88,2015-07-26,2015,1,1,0,0.8320939027581512,83.20939027581512,False,False
ascending,88,2015-08-07,2015,1,1,0,0.815094822073384,81.50948220733841,False,False
ascending,88,2015-08-19,2015,1,1,0,0.8153566185292993,81.53566185292993,False,False
ascending,88,2015-08-31,2015,1,1,0,0.8160966062594193,81.60966062594193,False,False
ascending,88,2015-09-12,2015,1,1,0,0.815976911032954,81.5976911032954,False,False
ascending,88,2015-09-24,2015,1,1,0,0.8156991945222867,81.56991945222867,False,False
ascending,88,2016-04-03,2016,2,2,0,0.8580750705841372,85.80750705841372,False,False
ascending,88,2016-04-15,2016,1,1,0,0.852020504622241,85.2020504622241,False,False
ascending,88,2016-04-27,2016,2,2,0,0.8585227390337488,85.85227390337488,False,False
ascending,88,2016-05-09,2016,1,1,0,0.8522486920736806,85.22486920736806,False,False
ascending,88,2016-05-21,2016,2,2,0,0.8817772188997985,88.17772188997985,False,False
ascending,88,2016-06-02,2016,2,2,0,0.8734636391093359,87.34636391093359,False,False
ascending,88,2016-06-14,2016,2,2,0,0.8729642210954613,87.29642210954613,False,False
ascending,88,2016-07-08,2016,2,2,0,0.8523277027157817,85.23277027157818,False,False
ascending,88,2016-07-20,2016,2,2,0,0.873996076496028,87.3996076496028,False,False
ascending,88,2016-08-01,2016,2,2,0,0.8732761362422614,87.32761362422615,False,False
ascending,88,2016-08-13,2016,2,2,0,0.8731570306474533,87.31570306474534,False,False
ascending,88,2016-08-25,2016,1,1,0,0.8473859997945526,84.73859997945526,False,False
ascending,88,2016-09-06,2016,2,2,0,0.8709807001997435,87.09807001997434,False,False
ascending,88,2016-09-18,2016,2,2,0,0.8711328251673701,87.11328251673702,False,False
ascending,88,2016-09-30,2016,2,2,0,0.8711976846496912,87.11976846496911,False,False
ascending,88,2017-04-04,2017,2,2,0,0.8669131030524109,86.69131030524109,False,False
