"workbook","sheet","row","column","value"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","26","P-PO4 (mg/l) PIEZOMETER 5"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","27","K (mg/l) PIEZOMETER 1"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","28","K (mg/l) PIEZOMETER 2"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","29","K (mg/l) PIEZOMETER 5"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","30","Arsenic (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","31","Arsenic (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","32","Arsenic (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","33","Cadmium (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","34","Cadmium (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","35","Cadmium (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","36","Pesticides content: MCPA (µg/L)  PIEZOMETER P1
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","37","Pesticides content: MCPA (µg/L) PIEZOMETER P2
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","38","Pesticides content: MCPA (µg/L) PIEZOMETER P5
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","39","Pesticides content: Clomazone  (µg/L)  PIEZOMETER P1
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","40","Pesticides content: Clomazone  (µg/L) PIEZOMETER P2
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","2","41","Pesticides content: Clomazone (µg/L) PIEZOMETER P5
"
