station,year,commune,pre,aprmay,jja,m5,m6,m7,m8,ff_2,ffw_2,ffb_2,n_2,nbal_2,ff_5,ffw_5,ffb_5,n_5,nbal_5,ff_10,ffw_10,ffb_10,n_10,nbal_10
PO0180930U0006,2018,MIRADOLO TERME,,,,,,,,0.0068894661962986,0.0068894661962986,,1,0,0.002344102996479102,0.002940961442488648,0.004835425410419712,16,4,0.010562168343700142,0.014359360865415994,0.01238299072860242,67,18
PO0180930U0006,2019,MIRADOLO TERME,,,,,,,,0.0056842250439028,0.0056842250439028,,1,0,0.006849355628300049,0.008328208811926073,0.0043397314730100455,15,4,0.02167653378824028,0.023595506763728666,0.01647705674053955,70,18
PO0180930U0006,2020,MIRADOLO TERME,,,,,,,,5.0845857913373e-05,5.0845857913373e-05,,1,0,6.370539942963656e-05,6.295322718979586e-05,4.60849405499175e-05,32,4,0.00029410982585501277,0.00027327030997500117,0.00010065493686987012,114,18
PO0180930U0006,2021,MIRADOLO TERME,,,,,,,,0.000451458191188673,0.0007739283277520108,,2,0,0.0007481765432852883,0.0005545926849167284,0.00036226634256308915,28,4,0.0009486340371534923,0.0013324639605066222,0.0005478058640922732,111,18
PO0180690U0002,2008,GARLASCO,5.33,6.25,5.25,,6.1,5.25,4.0,0.013203046287526382,0.014256468082060792,0.020823286923890322,10,6,0.04439611548905854,0.051089785218671434,0.05903260890071426,61,37,0.05406283883826499,0.05978270234579039,0.067001179729833,227,129
PO0180690U0002,2009,GARLASCO,5.335,5.955,3.99,5.95,,4.58,3.4,0.01735831724471171,0.020760967891641655,0.02446705718304858,9,6,0.04323843802148301,0.05258672522954616,0.059493136539560273,62,37,0.048497756767132416,0.05680350478205723,0.06383598331037016,231,129
PO0180690U0002,2010,GARLASCO,5.13,6.49,5.5,6.98,5.67,5.5,3.8,0.01335587560170092,0.01669484450212615,0.022259792669501535,10,6,0.02561260528768652,0.03456746305217815,0.04472547087365831,73,37,0.027311532577189452,0.034256870993361124,0.04087499871278315,259,129
PO0180690U0002,2011,GARLASCO,4.6,5.725,4.7,5.85,5.4,4.7,3.4,0.005555913285546312,0.006058497579673439,0.008403737009050215,10,6,0.016471682030200347,0.02053448981836451,0.028391802688847643,70,37,0.015654069426128535,0.01924871751397511,0.024864963024744245,253,129
PO0180690U0002,2012,GARLASCO,5.25,6.375,6.0,6.55,6.5,5.7,6.0,0.006401825765303025,0.006813439020853755,0.009283403921613675,10,6,0.02672210816047601,0.03152245070659687,0.03770710968366312,66,37,0.02532538227790705,0.029121698179416573,0.033097026138734886,232,129
PO0180690U0002,2013,GARLASCO,5.2,6.375,6.1,6.4,6.3,6.1,4.8,0.005219426401890818,0.008878984488546855,0.008699044003151362,10,6,0.03453023817349713,0.052624394336114266,0.05913887570930965,69,37,0.041588938779386825,0.052258675790869104,0.05767607080198889,246,129
